id,text,sign_id,homograph,homophone,pun sign,alternative sign
1.1,"Deve ser difícil ser professor de natação. Você ensina, ensina, e o aluno nada.",0,True,True,nada,['nada']
1.2,Nós chamamos de meio ambiente porque já destruímos metade?,0,True,True,meio,['meio']
1.3,"Se um pato perde a pata, ele fica manco ou viúvo?",0,True,True,pata,['pata']
1.4,O que uma impressora falou para a outra? Essa folha é sua ou é impressão minha?,0,True,True,impressão,['impressão']
1.5,Por que a galinha bateu a cabeça contra a parede? Para ficar com um galo.,0,True,True,galo,['galo']
1.6,"Você sabe qual é a montanha mais limpa de todas? O vulcão. Porque primeiro solta cinzas. E depois, lava.",0,True,True,lava,['lava']
2.1,Sabe como chama a sorveteria do Michel Teló? Ice Te Pego.,0,False,False,ice,['ai se eu']
2.2,Quem há de nos salvar da hipotenusa? O Cateto Fantástico.,0,False,False,cateto,['quarteto']
2.3,Qual o contrário de papelada? Pá vestida.,0,False,True,papelada,['pá pelada']
2.4,Sabe o que aconteceu com o lápis quando soube que o papel acabou? Ficou desapontado.,0,True,True,desapontado,['desapontado']
2.5,Sabe por que não seria bom um filme só sobre números? Porque seria uma má temática.,0,False,True,má temática,['matemática']
2.6,Por que o bombeiro não gosta de andar? Porque ele socorre.,0,False,True,socorre,['só corre']
2.7,Por que o espanador não luta caratê? Porque ele já luta capoeira.,0,False,False,capoeira,['com a poeira']
2.8,Sabe por que o argumento do Dumbo foi completamente ignorado? Porque era irrelefante.,0,False,False,irrelefante,['irrelevante']
2.9,Sabe por que um homem estava com a orelha encostada na pedra? Porque ele estava ouvindo arrocha.,0,False,True,arrocha,['a rocha']
2.1,Como o padre bateu o carro? Dando uma rezinha.,0,True,True,rezinha,['rezinha']
2.11,Qual o nome da ciência que transforma cachorro em gato? Au que mia.,0,False,True,au que mia,['alquimia']
2.12,Por que a vaca foi para o espaço? Para se encontrar com o vácuo.,0,False,False,vácuo,['vaco']
2.13,"Quando o Papai Noel morrer, ele não estará mais em trenós.",0,False,True,em trenós,['entre nós']
2.14,Por que o astronauta cometeu um homicídio no espaço e não foi preso? Porque foi um crime sem gravidade.,0,True,True,gravidade,['gravidade']
2.15,A partida de futebol entre cavalos terminou em patada.,0,False,True,em patada,['empatada']
2.16,Qual é o doce preferido dos átomos? Pé-de-moléculas.,0,False,False,pé-de-moléculas,['pé-de-moleque']
2.17,Sabe qual é o legume que ninguém consegue domesticar? O Seu Vagem.,0,False,True,seu vagem,['selvagem']
2.18,Recolhi duas sacas de grãos para a Patrícia Pillar.,0,False,True,pillar,['pilar']
2.19,Todos morrem uma só vez. A Alanis Morrissette.,0,False,False,morrissette,['morre sete']
2.2,Eu odeio academia. Mas o Tim Maia.,0,False,False,maia,['malha']
2.21,"Eu não esperei, mas o Jack Sparrow.",0,False,False,Sparrow,['esperou']
2.22,Aquilo todo mundo viu. Até o Clodovil.,0,False,True,Clodovil,['clodo viu']
3.1,Qual o contrário de paixão? Mãeteto.,0,False,True,paixão,['pai chão']
3.2,O que o martelo foi fazer no culto? Pregar.,0,True,True,pregar,['pregar']
3.3,Por que um policial estava interrogando um saco de cimento? Porque ele queria informações concretas.,0,False,False,concretas,['concreto']
3.4,Qual é o animal que não vale mais nada? O javali.,0,False,True,javali,['já vali']
3.5,Qual é o nome do profissional que pinta carros em inglês? Car-pinteiro.,0,False,True,car-pinteiro,['carpinteiro']
3.6,Por que o policial não gosta de sabão? Porque ele prefere detergente.,0,False,True,detergente,['deter gente']
3.7,"O que é um pontinho amarelo na limusine? É um ""milhonário"".",0,False,True,milhonário,['milionário']
3.8,Quando você estiver triste é só abraçar um sapato. Um sapato consola.,0,False,True,consola,['com sola']
3.9,Ana e César tiveram um filho. Ele nasceu de cesariana.,0,False,True,cesariana,['César e Ana']
3.1,Como é que as freiras secam a roupa? Convento.,0,False,True,convento,['com vento']
3.11,Uma pessoa passou dois dias inteiros dentro da piscina e depois foi ao médico. Sabe qual foi o diagnóstico? Nada demais.,0,True,True,nada,['nada']
3.12,Por que a aranha é o ser vivo mais carente do mundo? Porque ela é um aracneedyou.,0,False,True,aracneedyou,['aracnídeo']
3.13,Sabe por que o pinheiro não se perde na floresta? Porque ele tem uma pinha.,0,False,True,uma pinha,['um mapinha']
3.14,Por que as plantas pequenas não falam? Porque elas são mudas.,0,True,True,mudas,['mudas']
3.15,Sabe por que a panela procurou um terapeuta? Porque é uma panela depressão.,0,False,True,depressão,['de pressão']
3.16,Sabe qual é o nome do intestino do boi em espanhol? Intestino del gado.,0,False,True,del gado,['delgado']
3.17,Que nome se dá a uma ferramenta perdida? Foice.,0,False,True,foice,['foi-se']
4.1,Por que é que o Capitão América ficou sem abrigo? Porque ainda usa o escudo.,0,True,True,escudo,['escudo']
4.2,Por que é que os matemáticos bebem pouca água? Para fazerem cálculo renal,0,True,True,cálculo,['cálculo']
4.3,Quem é aquela velhinha ali a ouvir música no telemóvel? É a avó da fone.,0,False,True,avó da fone,['a vodafone']
4.4,O que é melhor que o Star Wars? Star de férias.,0,False,True,star,['estar']
4.5,Hoje caí e entornei meu leite com chocolate. Molhei-me Toddynho.,0,False,False,toddynho,['todinho']
4.6,Decidi começar a usar flores nos pés. São dálias.,0,False,False,são dálias,['sandálias']
4.7,Um casal pinou no meio do mato e teve dois filhos. São frutos do bosque.,0,True,True,frutos,['frutos']
4.8,"O Adão decidiu fazer uma tatuagem. ""Adão 4Eva""",0,False,False,4eva,['forever']
4.9,"Que nome se dá a um ""A"" num trampolim? Assaltante.",0,False,True,assaltante,['a saltante']
4.1,"Pedi ao sabichão da turma para me vir a casa dar umas explicações sobre físico-química. Quando ele chegou eu disse ""Halogéneo!""",0,False,False,halogéneo,['alô génio']
4.11,Qual é o animal mais romântico? É a amêijoa. Porque dorme em conchinha.,0,True,True,dorme em conchinha,['dorme em conchinha']
4.12,"Havia um DJ tão bom, mas tão bom, que nem sequer gravava sets. Gravava oitos.",0,False,False,sets,['setes']
4.13,Por que é que os Cristãos não conseguem manter um relacionamento? Porque Deus mandou amar o próximo.,0,True,True,próximo,['próximo']
4.14,O meu sonho é ser probre um dia. É que ser probre todos os dias é lixado.,0,True,False,um,['um']
4.15,A Apple vai lançar um novo GPS em parceria com o Tony Carreira. Vai-se chamar iDestino.,0,False,True,iDestino,['ai destino']
4.16,Como é que o Batman engata mulheres? No bate-papo.,0,False,True,bate-papo,['batpapo']
4.17,Em que local do planeta se encontram mais leprosos? Nas ilhas Caimão.,0,False,False,Caimão,"['Cayman', 'cai mão']"
4.18,"Cristiano Ronaldo, está nervoso para o jogo com a Suécia? Não, Estocolmo.",0,False,False,Estocolmo,['estou calmo']
4.19,O meu baralho de cartas fica doido quando ligo o aspirador. Hoje encontrei o meu ás pirado,0,False,True,ás pirado,['aspirado']
4.2,Adoro mulheres com sardas. Têm centenas de pontos a seu favor.,0,True,True,pontos,['pontos']
4.21,Um turista asiático entra numa padaria. - Jápão?,0,False,False,Jápão,"['já há pão', 'Japão']"
4.22,Os médicos vão começar a passar receitas no computador. Ouvi dizer que são ficheiros comprimidos.,0,True,True,comprimidos,['comprimidos']
4.23,Que nome se dá a um cão que adivinha o futuro? Cãoguru.,0,False,False,cãoguru,['canguru']
4.24,Vira-se um cromossoma para outro: cromossomos bonitos!,0,False,True,cromossomos,['como somos']
4.25,Já abriu a nova discoteca para a comunidade gay. Chama-se Barbicha.,0,False,True,barbicha,['bar bicha']
4.26,Tudo na vida muda. Até a surda-muda.,0,True,True,muda,['muda']
4.27,"Existem três tipos de camelos: com uma bossa, com duas bossas, bossaexcelência.",0,False,False,bossaexcelência,"['vossa excelência', 'bossa excelência']"
4.28,Voltei a dizer à minha mãe que queria ser pianista. Ela diz que estou sempre a bater na mesma tecla.,0,True,True,bater na mesma tecla,['bater na mesma tecla']
4.29,Qual é o único animal que anda com as patas? O pato.,0,True,True,patas,['patas']
4.3,Hoje vi um maluco escondido debaixo do tapete. Era um doido varrido.,0,True,True,varrido,['varrido']
4.31,Todos os dias o meu cão foge da casota e todos os dias o vou lá prender. Pode-se dizer que o meu cão é presi-diário.,0,False,True,presi-diário,"['presidiário', 'preso diário']"
4.32,"Era uma vez duas pizzas. Uma estava triste, então a outra vira-se: pizza-ria.",0,False,False,pizza-ria,"['pizza ria', 'pizzaria']"
4.33,Qual é a parte da mulher que cheira a banana? O nariz.,0,True,True,cheira,['cheira']
4.34,A Ana e o César tiveram um filho. Ouvi dizer que o parto foi de cesariana.,0,False,True,cesariana,['César e Ana']
4.35,Quem é a mulher mais sexy do mundo? A Irmã Lúcia. Foi a única mulher que fez vir o Papa.,0,True,True,vir,['vir']
4.36,Uma loira viu um jogo de futebol que acabou 1-0. Qual foi o seu jogador preferido? O Vidoso. Porque o golo foi do Vidoso.,0,False,True,do Vidoso,['duvidoso']
4.37,"Era uma vez um homem tão maduro, tão maduro, tão maduro... que ficou podre.",0,True,True,maduro,['maduro']
4.38,Hoje vi uma empregada do Pingo Doce a marcar o preço nos produtos aos calhas. Ela devia estar só a preço-por os valores.,0,False,True,preço-por,['pressupor']
4.39,Como é que o Darth Vader cura as feridas? Com tintura de Yoda.,0,False,False,Yoda,['iodo']
4.4,"Hoje no trânsito disse ""amo-te"" a um semáforo. O semáforo ficou vermelho.",0,True,True,ficou vermelho,['ficou vermelho']
4.41,O rei de Espanha é viciado em Coca-Cola. E a filha é Infanta.,0,False,True,infanta,['em fanta']
4.42,O que é que fazes com 365 preservativos usados? Fazes um pneu e chamas-lhe Goodyear.,0,False,True,goodyear,['good year']
4.43,Porque é que o caracol foi preso? Porque deixou rasto.,0,True,True,rasto,['rasto']
4.44,"Uma vez perguntaram ao Schwarzenegger porque é que ele não tinha o Windows 10, ao que ele respondeu: I still love Vista, baby.",0,False,False,i still love Vista,['hasta la vista']
4.45,Porque é que o pirilampo teve 20 a tudo? Porque ele é um aluno brilhante.,0,True,True,brilhante,['brilhante']
4.46,Estão dois gatinhos à procura da mãe. Qual é o filme? Mamma mia!,0,True,True,mia,['mia']
4.47,O que é que as crianças dos carpinteiros fazem? Brin-cadeiras.,0,False,True,brin-cadeiras,"['brincadeiras', 'cadeiras']"
4.48,O que é um pontinho verde numa noiva? A greenalda.,0,False,True,greenalda,"['grinalda', 'green']"
4.49,Como se chama o irmão do Clemente? É o Clediziaverdade.,0,False,True,Clemente,['Cle mente']
4.5,Eu tenho uma teoria sobre a inércia. Mas não parece estar a ganhar muita força.,0,True,True,força,['força']
4.51,Como se encontra um cego numa praia de nudistas? Não é duro.,0,True,True,duro,['duro']
4.52,O que é um ponto preto no oceano? É um blackalhau.,0,False,False,blackalhau,"['bacalhau', 'black']"
4.53,Os termómetros foram festejar o início do verão. A festa foi na casa dos 30 graus.,0,True,True,casa,['casa']
