Method,Fold,Dialect,,H,N,accuracy,macro avg,weighted avg
all_features,fold_0,PT-BR,precision,"0,2597864768683274","0,26245847176079734","0,2611683848797251","0,26112247431456237","0,26110411008849727"
all_features,fold_0,PT-BR,recall,"0,24745762711864408","0,27526132404181186","0,2611683848797251","0,261359475580228","0,2611683848797251"
all_features,fold_0,PT-BR,f1-score,"0,2534722222222222","0,2687074829931973","0,2611683848797251","0,2610898526077098","0,26098514291168934"
all_features,fold_0,PT-BR,support,"295,0","287,0","0,2611683848797251","582,0","582,0"
all_features,fold_0,PT-PT,precision,"0,15492957746478872","0,19672131147540983","0,17424242424242425","0,1758254444700993","0,17772506874330932"
all_features,fold_0,PT-PT,recall,"0,18333333333333332","0,16666666666666666","0,17424242424242425","0,175","0,17424242424242425"
all_features,fold_0,PT-PT,f1-score,"0,1679389312977099","0,18045112781954886","0,17424242424242425","0,17419502955862937","0,17476376576416752"
all_features,fold_0,PT-PT,support,"60,0","72,0","0,17424242424242425","132,0","132,0"
all_features,fold_1,PT-BR,precision,"0,2736156351791531","0,26258992805755393","0,26837606837606837","0,26810278161835355","0,26803681584924993"
all_features,fold_1,PT-BR,recall,"0,2906574394463668","0,24662162162162163","0,26837606837606837","0,2686395305339942","0,26837606837606837"
all_features,fold_1,PT-BR,f1-score,"0,2818791946308725","0,25435540069686413","0,26837606837606837","0,2681172976638683","0,2679526253924683"
all_features,fold_1,PT-BR,support,"289,0","296,0","0,26837606837606837","585,0","585,0"
all_features,fold_1,PT-PT,precision,"0,18461538461538463","0,15384615384615385","0,16923076923076924","0,16923076923076924","0,1697041420118343"
all_features,fold_1,PT-PT,recall,"0,1791044776119403","0,15873015873015872","0,16923076923076924","0,1689173181710495","0,16923076923076924"
all_features,fold_1,PT-PT,f1-score,"0,18181818181818182","0,15625","0,16923076923076924","0,1690340909090909","0,16942744755244754"
all_features,fold_1,PT-PT,support,"67,0","63,0","0,16923076923076924","130,0","130,0"
all_features,fold_2,PT-BR,precision,"0,25259515570934254","0,27147766323024053","0,2620689655172414","0,26203640946979156","0,2621991897070407"
all_features,fold_2,PT-BR,recall,"0,256140350877193","0,2677966101694915","0,2620689655172414","0,26196848052334226","0,2620689655172414"
