Method,Fold,,H,N,accuracy,macro avg,weighted avg
all_features,fold_0,precision,"0,24948453608247423","0,2540322580645161","0,25178389398572887","0,2517583970734952","0,251756079172383"
all_features,fold_0,recall,"0,24643584521384929","0,2571428571428571","0,25178389398572887","0,2517893511783532","0,25178389398572887"
all_features,fold_0,f1-score,"0,24795081967213115","0,255578093306288","0,25178389398572887","0,2517644564892096","0,25176056898990573"
all_features,fold_0,support,"491,0","490,0","0,25178389398572887","981,0","981,0"
all_features,fold_1,precision,"0,276","0,2661122661122661","0,2711518858307849","0,2710561330561331","0,2710611726758516"
all_features,fold_1,recall,"0,28105906313645623","0,2612244897959184","0,2711518858307849","0,2711417764661873","0,2711518858307849"
all_features,fold_1,f1-score,"0,2785065590312816","0,2636457260556128","0,2711518858307849","0,2710761425434472","0,271083716872181"
all_features,fold_1,support,"491,0","490,0","0,2711518858307849","981,0","981,0"
all_features,fold_2,precision,"0,3104125736738703","0,2944915254237288","0,30275229357798167","0,30245204954879956","0,302460164252291"
all_features,fold_2,recall,"0,32179226069246436","0,2836734693877551","0,30275229357798167","0,30273286504010977","0,30275229357798167"
all_features,fold_2,f1-score,"0,316","0,28898128898128894","0,30275229357798167","0,30249064449064444","0,30250441549524115"
all_features,fold_2,support,"491,0","490,0","0,30275229357798167","981,0","981,0"
all_features,fold_3,precision,"0,26429980276134124","0,2489451476793249","0,25688073394495414","0,2566224752203331","0,25661464919837484"
all_features,fold_3,recall,"0,27346938775510204","0,24032586558044808","0,25688073394495414","0,25689762666777505","0,25688073394495414"
all_features,fold_3,f1-score,"0,2688064192577733","0,244559585492228","0,25688073394495414","0,25668300237500064","0,25667064415187857"
all_features,fold_3,support,"490,0","491,0","0,25688073394495414","981,0","981,0"
all_features,fold_4,precision,"0,2654320987654321","0,27070707070707073","0,26809378185524974","0,2680695847362514","0,268072273305029"
all_features,fold_4,recall,"0,26326530612244897","0,2729124236252546","0,26809378185524974","0,26808886487385175","0,26809378185524974"
all_features,fold_4,f1-score,"0,26434426229508196","0,27180527383367137","0,26809378185524974","0,2680747680643767","0,26807857082255127"
all_features,fold_4,support,"490,0","491,0","0,26809378185524974","981,0","981,0"
all_features,fold_5,precision,"0,27835051546391754","0,2842741935483871","0,28134556574923547","0,28131235450615233","0,281315373710069"
all_features,fold_5,recall,"0,2755102040816326","0,28716904276985744","0,28134556574923547","0,28133962342574503","0,28134556574923547"
all_features,fold_5,f1-score,"0,27692307692307694","0,28571428571428575","0,28134556574923547","0,2813186813186813","0,28132316205710706"
all_features,fold_5,support,"490,0","491,0","0,28134556574923547","981,0","981,0"
all_features,fold_6,precision,"0,25736738703339884","0,23779193205944799","0,2479591836734694","0,24757965954642341","0,2475796595464234"
all_features,fold_6,recall,"0,2673469387755102","0,22857142857142856","0,2479591836734694","0,24795918367346936","0,2479591836734694"
all_features,fold_6,f1-score,"0,26226226226226224","0,23309053069719043","0,2479591836734694","0,24767639647972634","0,24767639647972634"
all_features,fold_6,support,"490,0","490,0","0,2479591836734694","980,0","980,0"
all_features,fold_7,precision,"0,2769556025369979","0,29191321499013806","0,28469387755102044","0,28443440876356796","0,284434408763568"
all_features,fold_7,recall,"0,2673469387755102","0,3020408163265306","0,28469387755102044","0,2846938775510204","0,28469387755102044"
all_features,fold_7,f1-score,"0,2720664589823468","0,29689067201604813","0,28469387755102044","0,2844785654991975","0,2844785654991975"
all_features,fold_7,support,"490,0","490,0","0,28469387755102044","980,0","980,0"
all_features,fold_8,precision,"0,25609756097560976","0,2540983606557377","0,25510204081632654","0,2550979608156737","0,2550979608156737"
all_features,fold_8,recall,"0,2571428571428571","0,2530612244897959","0,25510204081632654","0,2551020408163265","0,2551020408163265"
all_features,fold_8,f1-score,"0,2566191446028513","0,25357873210633947","0,25510204081632654","0,2550989383545954","0,25509893835459535"
all_features,fold_8,support,"490,0","490,0","0,25510204081632654","980,0","980,0"
all_features,fold_9,precision,"0,2807377049180328","0,28252032520325204","0,2816326530612245","0,2816290150606424","0,2816290150606424"
all_features,fold_9,recall,"0,2795918367346939","0,2836734693877551","0,2816326530612245","0,28163265306122454","0,2816326530612245"
all_features,fold_9,f1-score,"0,28016359918200406","0,2830957230142566","0,2816326530612245","0,28162966109813037","0,28162966109813037"
all_features,fold_9,support,"490,0","490,0","0,2816326530612245","980,0","980,0"
bert,fold_0,precision,"0,6892778993435449","0,6641221374045801","0,6758409785932722","0,6767000183740626","0,676712839863328"
bert,fold_0,recall,"0,6415478615071283","0,710204081632653","0,6758409785932722","0,6758759715698907","0,6758409785932722"
bert,fold_0,f1-score,"0,6645569620253166","0,6863905325443788","0,6758409785932722","0,6754737472848477","0,6754626190633802"
bert,fold_0,support,"491,0","490,0","0,6758409785932722","981,0","981,0"
bert,fold_1,precision,"0,7116704805491991","0,6691176470588235","0,6880733944954128","0,6903940638040114","0,6904157523022225"
bert,fold_1,recall,"0,6334012219959266","0,7428571428571429","0,6880733944954128","0,6881291824265348","0,6880733944954128"
bert,fold_1,f1-score,"0,6702586206896551","0,7040618955512573","0,6880733944954128","0,6871602581204562","0,6871430291322494"
bert,fold_1,support,"491,0","490,0","0,6880733944954128","981,0","981,0"
bert,fold_2,precision,"0,7152173913043478","0,6890595009596929","0,7013251783893986","0,7021384461320204","0,7021517783900962"
bert,fold_2,recall,"0,670061099796334","0,7326530612244898","0,7013251783893986","0,7013570805104119","0,7013251783893986"
bert,fold_2,f1-score,"0,6919032597266035","0,7101879327398616","0,7013251783893986","0,7010455962332325","0,7010362768280269"
bert,fold_2,support,"491,0","490,0","0,7013251783893986","981,0","981,0"
bert,fold_3,precision,"0,6843267108167771","0,6590909090909091","0,6707441386340469","0,6717088099538431","0,6716959476695792"
bert,fold_3,recall,"0,6326530612244898","0,7087576374745418","0,6707441386340469","0,6707053493495159","0,6707441386340469"
bert,fold_3,f1-score,"0,6574761399787912","0,6830225711481845","0,6707441386340469","0,6702493555634879","0,6702623761706078"
bert,fold_3,support,"490,0","491,0","0,6707441386340469","981,0","981,0"
bert,fold_4,precision,"0,7412280701754386","0,7104761904761905","0,7247706422018348","0,7258521303258145","0,7258364565848873"
bert,fold_4,recall,"0,689795918367347","0,7596741344195519","0,7247706422018348","0,7247350263934494","0,7247706422018348"
bert,fold_4,f1-score,"0,7145877378435518","0,734251968503937","0,7247706422018348","0,7244198531737445","0,724429875717404"
bert,fold_4,support,"490,0","491,0","0,7247706422018348","981,0","981,0"
bert,fold_5,precision,"0,7112676056338029","0,6630630630630631","0,6839959225280327","0,687165334348433","0,6871407652645539"
bert,fold_5,recall,"0,6183673469387755","0,7494908350305499","0,6839959225280327","0,6839290909846627","0,6839959225280327"
bert,fold_5,f1-score,"0,6615720524017468","0,7036328871892925","0,6839959225280327","0,6826024697955196","0,6826239075298659"
bert,fold_5,support,"490,0","491,0","0,6839959225280327","981,0","981,0"
bert,fold_6,precision,"0,7098214285714286","0,6766917293233082","0,6918367346938775","0,6932565789473684","0,6932565789473684"
bert,fold_6,recall,"0,6489795918367347","0,7346938775510204","0,6918367346938775","0,6918367346938776","0,6918367346938775"
bert,fold_6,f1-score,"0,6780383795309168","0,7045009784735812","0,6918367346938775","0,691269679002249","0,691269679002249"
bert,fold_6,support,"490,0","490,0","0,6918367346938775","980,0","980,0"
bert,fold_7,precision,"0,6770601336302895","0,6497175141242938","0,6622448979591836","0,6633888238772916","0,6633888238772916"
bert,fold_7,recall,"0,6204081632653061","0,7040816326530612","0,6622448979591836","0,6622448979591837","0,6622448979591836"
bert,fold_7,f1-score,"0,6474973375931843","0,6758080313418218","0,6622448979591836","0,661652684467503","0,661652684467503"
bert,fold_7,support,"490,0","490,0","0,6622448979591836","980,0","980,0"
bert,fold_8,precision,"0,7081545064377682","0,688715953307393","0,6979591836734694","0,6984352298725807","0,6984352298725807"
bert,fold_8,recall,"0,673469387755102","0,7224489795918367","0,6979591836734694","0,6979591836734693","0,6979591836734694"
bert,fold_8,f1-score,"0,6903765690376569","0,7051792828685259","0,6979591836734694","0,6977779259530914","0,6977779259530914"
bert,fold_8,support,"490,0","490,0","0,6979591836734694","980,0","980,0"
bert,fold_9,precision,"0,7215777262180975","0,6739526411657559","0,6948979591836735","0,6977651836919267","0,6977651836919267"
bert,fold_9,recall,"0,6346938775510204","0,7551020408163265","0,6948979591836735","0,6948979591836735","0,6948979591836735"
bert,fold_9,f1-score,"0,6753528773072747","0,712223291626564","0,6948979591836735","0,6937880844669193","0,6937880844669193"
bert,fold_9,support,"490,0","490,0","0,6948979591836735","980,0","980,0"
content_features,fold_0,precision,"0,1743486973947896","0,16182572614107885","0,16819571865443425","0,16808721176793423","0,16809359452596365"
content_features,fold_0,recall,"0,17718940936863545","0,15918367346938775","0,16819571865443425","0,1681865414190116","0,16819571865443425"
content_features,fold_0,f1-score,"0,17575757575757578","0,16049382716049385","0,16819571865443425","0,16812570145903483","0,16813348114741253"
content_features,fold_0,support,"491,0","490,0","0,16819571865443425","981,0","981,0"
content_features,fold_1,precision,"0,1834319526627219","0,16033755274261605","0,17227319062181448","0,17188475270266895","0,1718965235487037"
content_features,fold_1,recall,"0,1894093686354379","0,15510204081632653","0,17227319062181448","0,1722557047258822","0,17227319062181448"
content_features,fold_1,f1-score,"0,18637274549098198","0,15767634854771787","0,17227319062181448","0,17202454701934994","0,17203917311361255"
content_features,fold_1,support,"491,0","490,0","0,17227319062181448","981,0","981,0"
content_features,fold_2,precision,"0,19675456389452334","0,19262295081967212","0,1946992864424057","0,19468875735709773","0,19469086317415932"
content_features,fold_2,recall,"0,1975560081466395","0,19183673469387755","0,1946992864424057","0,19469637142025853","0,1946992864424057"
content_features,fold_2,f1-score,"0,19715447154471546","0,1922290388548057","0,1946992864424057","0,19469175519976056","0,19469426561397563"
content_features,fold_2,support,"491,0","490,0","0,1946992864424057","981,0","981,0"
content_features,fold_3,precision,"0,16666666666666666","0,15734989648033126","0,1620795107033639","0,16200828157349895","0,16200353296484127"
content_features,fold_3,recall,"0,16938775510204082","0,15478615071283094","0,1620795107033639","0,16208695290743588","0,1620795107033639"
content_features,fold_3,f1-score,"0,1680161943319838","0,15605749486652976","0,1620795107033639","0,16203684459925677","0,1620307494415272"
content_features,fold_3,support,"490,0","491,0","0,1620795107033639","981,0","981,0"
