Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
albertina,PT_BR,fold_0,precision,"0,0","0,4991364421416235","0,4991364421416235","0,24956822107081175","0,24913718787379827"
albertina,PT_BR,fold_0,recall,"0,0","1,0","0,4991364421416235","0,5","0,4991364421416235"
albertina,PT_BR,fold_0,f1-score,"0,0","0,6658986175115207","0,4991364421416235","0,33294930875576034","0,3323742667717262"
albertina,PT_BR,fold_0,support,"290,0","289,0","0,4991364421416235","579,0","579,0"
albertina,PT_BR,fold_1,precision,"0,5008635578583766","0,0","0,5008635578583766","0,2504317789291883","0,2508643035905513"
albertina,PT_BR,fold_1,recall,"1,0","0,0","0,5008635578583766","0,5","0,5008635578583766"
albertina,PT_BR,fold_1,f1-score,"0,667433831990794","0,0","0,5008635578583766","0,333716915995397","0,334293283725959"
albertina,PT_BR,fold_1,support,"290,0","289,0","0,5008635578583766","579,0","579,0"
albertina,PT_BR,fold_2,precision,"0,5008635578583766","0,0","0,5008635578583766","0,2504317789291883","0,2508643035905513"
albertina,PT_BR,fold_2,recall,"1,0","0,0","0,5008635578583766","0,5","0,5008635578583766"
albertina,PT_BR,fold_2,f1-score,"0,667433831990794","0,0","0,5008635578583766","0,333716915995397","0,334293283725959"
albertina,PT_BR,fold_2,support,"290,0","289,0","0,5008635578583766","579,0","579,0"
albertina,PT_BR,fold_3,precision,"0,5008635578583766","0,0","0,5008635578583766","0,2504317789291883","0,2508643035905513"
albertina,PT_BR,fold_3,recall,"1,0","0,0","0,5008635578583766","0,5","0,5008635578583766"
albertina,PT_BR,fold_3,f1-score,"0,667433831990794","0,0","0,5008635578583766","0,333716915995397","0,334293283725959"
albertina,PT_BR,fold_3,support,"290,0","289,0","0,5008635578583766","579,0","579,0"
albertina,PT_BR,fold_4,precision,"0,0","0,5008635578583766","0,5008635578583766","0,2504317789291883","0,2508643035905513"
albertina,PT_BR,fold_4,recall,"0,0","1,0","0,5008635578583766","0,5","0,5008635578583766"
albertina,PT_BR,fold_4,f1-score,"0,0","0,667433831990794","0,5008635578583766","0,333716915995397","0,334293283725959"
albertina,PT_BR,fold_4,support,"289,0","290,0","0,5008635578583766","579,0","579,0"
albertina,PT_BR,fold_5,precision,"0,4991364421416235","0,0","0,4991364421416235","0,24956822107081175","0,24913718787379827"
albertina,PT_BR,fold_5,recall,"1,0","0,0","0,4991364421416235","0,5","0,4991364421416235"
albertina,PT_BR,fold_5,f1-score,"0,6658986175115207","0,0","0,4991364421416235","0,33294930875576034","0,3323742667717262"
albertina,PT_BR,fold_5,support,"289,0","290,0","0,4991364421416235","579,0","579,0"
albertina,PT_BR,fold_6,precision,"0,4991364421416235","0,0","0,4991364421416235","0,24956822107081175","0,24913718787379827"
albertina,PT_BR,fold_6,recall,"1,0","0,0","0,4991364421416235","0,5","0,4991364421416235"
albertina,PT_BR,fold_6,f1-score,"0,6658986175115207","0,0","0,4991364421416235","0,33294930875576034","0,3323742667717262"
albertina,PT_BR,fold_6,support,"289,0","290,0","0,4991364421416235","579,0","579,0"
albertina,PT_BR,fold_7,precision,"0,4991364421416235","0,0","0,4991364421416235","0,24956822107081175","0,24913718787379827"
albertina,PT_BR,fold_7,recall,"1,0","0,0","0,4991364421416235","0,5","0,4991364421416235"
albertina,PT_BR,fold_7,f1-score,"0,6658986175115207","0,0","0,4991364421416235","0,33294930875576034","0,3323742667717262"
albertina,PT_BR,fold_7,support,"289,0","290,0","0,4991364421416235","579,0","579,0"
albertina,PT_BR,fold_8,precision,"0,5","0,0","0,5","0,25","0,25"
albertina,PT_BR,fold_8,recall,"1,0","0,0","0,5","0,5","0,5"
albertina,PT_BR,fold_8,f1-score,"0,6666666666666666","0,0","0,5","0,3333333333333333","0,3333333333333333"
albertina,PT_BR,fold_8,support,"289,0","289,0","0,5","578,0","578,0"
